miller_indices,h,k,l,stereo_x,stereo_y,GCN Density 4.75,GCN Density 4.833,GCN Density 4.917,GCN Density 5.0,GCN Density 5.083,GCN Density 5.167,GCN Density 5.417,GCN Density 5.5,GCN Density 5.583,GCN Density 5.667,GCN Density 5.75,GCN Density 5.833,GCN Density 5.917,GCN Density 6.0,GCN Density 6.167,GCN Density 6.25,GCN Density 6.333,GCN Density 6.417,GCN Density 6.5,GCN Density 6.583,GCN Density 6.667,GCN Density 6.75,GCN Density 6.833,GCN Density 6.917,GCN Density 7.0,GCN Density 7.083,GCN Density 7.167,GCN Density 7.25,GCN Density 7.333,GCN Density 7.417,GCN Density 7.5,GCN Density 7.583,GCN Density 7.667,GCN Density 7.75,GCN Density 7.833,GCN Density 7.917,GCN Density 8.0,GCN Density 8.083,GCN Density 8.167,GCN Density 8.25,GCN Density 8.333,GCN Density 8.417,GCN Density 8.5,GCN Density 8.583,GCN Density 8.667,GCN Density 8.75,GCN Density 8.833,GCN Density 8.917,GCN Density 9.0,GCN Density 9.083,GCN Density 9.167,GCN Density 9.25,GCN Density 9.333,GCN Density 9.417,GCN Density 9.5,GCN Density 9.583,GCN Density 9.667,GCN Density 9.75,surface_chirality
[28 21 14],0.7427813527082074,0.5570860145311556,0.3713906763541037,0.3196534170310394,0.21310227802069293,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,S
[28 22 14],0.7317917228850433,0.5749792108382483,0.3658958614425217,0.3320140656870524,0.21128167816448787,0.039999999999999994,0.08,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.08,0.0,0.039999999999999994,0.0,5.551115123125783e-18,0.12,5.551115123125783e-18,0.0,0.039999999999999994,0.08,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.08,0.0,0.039999999999999994,S
[28 23 14],0.7207977319914393,0.5920838512786822,0.36039886599571963,0.34407521597176755,0.20943708798281505,0.0784062486517011,0.019645029989849416,0.0,0.0,0.0,0.0,0.0,0.0784062486517011,0.0,0.0,0.0,0.0,0.0,0.0,0.019645029989849416,0.0784062486517011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784062486517011,0.019645029989849416,0.0,0.0784062486517011,0.0,1.6054902342057393e-05,0.09803522373920845,1.6054902342057393e-05,0.0,0.0784062486517011,0.019645029989849416,0.0784062486517011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09805127864155051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784062486517011,0.0,0.0,0.019645029989849416,0.0,0.0784062486517011,S
[28 24 14],0.7098281771887514,0.6084241518760726,0.3549140885943757,0.3558393527450375,0.20757295576793855,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,0.0,0.0,0.07692307692307693,S
[28 25 14],0.698908806819045,0.6240257203741473,0.3494544034095225,0.3673097213160858,0.20569344393700806,0.05664130214755987,0.0,0.0,0.0,0.0,0.0,0.05661228710209109,0.03763863951485364,0.05661228710209109,0.0,0.0,0.0,0.0,0.0,0.0,0.05664130214755987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05664130214755987,0.0,0.09422191157147596,0.05664130214755987,0.0,2.9015045468782344e-05,0.05664130214755987,2.9015045468782344e-05,0.0,0.05664130214755987,0.09422191157147596,0.05664130214755987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05664130214755987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05664130214755987,0.0,0.09422191157147596,0.0,0.0,0.05664130214755987,S
[28 26 14],0.6880624620561867,0.6389151433378876,0.34403123102809335,0.3784902263389241,0.203802429567113,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.14814814814814814,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.14814814814814814,0.0,0.0,0.037037037037037035,S
[28 27 14],0.6773092393688038,0.6531196236770609,0.3386546196844019,0.3893853371503751,0.20190350815204633,0.01824734041620368,0.0,0.0,0.0,0.0,0.0,0.01824734041620368,0.18154443889780025,0.01824734041620368,0.0,0.0,0.0,0.0,0.0,0.0,0.01824734041620368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01824734041620368,0.0,0.19979177931400394,0.01824734041620368,0.0,0.0,0.01835947858194753,0.0,0.0,0.01824734041620368,0.19979177931400394,0.01824734041620368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01824734041620368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01824734041620368,0.0,0.19979177931400394,0.0,0.0,0.01824734041620368,S
[28 28 14],0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.2,3.581364595565021e-18,0.0,0.0,0.0,0.0,0.0,3.581364595565021e-18,0.25,3.581364595565021e-18,0.0,0.0,0.0,0.0,0.0,0.0,3.581364595565021e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.581364595565021e-18,0.0,0.25,3.581364595565021e-18,0.0,0.0,3.581364595565021e-18,0.0,0.0,3.581364595565021e-18,0.25,3.581364595565021e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.581364595565021e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.581364595565021e-18,0.0,0.25,0.0,0.0,3.581364595565021e-18,A
[29 14 14],0.8258790691262022,0.3987002402678218,0.3987002402678218,0.21836070471995986,0.21836070471995986,-3.0839528461809902e-18,0.0,0.0,0.0,0.0,0.0,-3.0839528461809902e-18,0.3021762017667773,-3.0839528461809902e-18,0.046735697349834085,-3.0839528461809902e-18,0.0,0.0,0.0,0.0,0.0,0.0,-3.0839528461809902e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0839528461809902e-18,0.0,0.3021762017667773,0.0,-3.0839528461809902e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0839528461809902e-18,0.0,0.0,0.046735697349834085,-3.0839528461809902e-18,0.0,-3.0839528461809902e-18,0.3021762017667773,-3.0839528461809902e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0839528461809902e-18,0.0,0.0,A
[29 15 14],0.8163348183543847,0.42224214742468175,0.39409267092970296,0.23246933503550676,0.21697137936647298,0.022392539476237212,0.0,0.0,0.0,0.0,0.0,0.022392539476237212,0.24003131288488405,0.022392539476237212,0.0,0.011196951845735822,0.0,0.0,0.0,0.0,0.01119558763050139,0.0,0.011196951845735822,0.0,0.0,0.0,0.0,0.0,0.0,0.01119558763050139,0.0,0.011196951845735822,0.01119558763050139,0.24003131288488405,0.01119558763050139,0.011196951845735822,0.01119558763050139,0.0,0.0,0.01119558763050139,0.0,0.0,0.0,0.011196951845735822,0.0,0.0,0.0,0.022392539476237212,0.0,0.011196951845735822,0.25122690051538543,0.022392539476237212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022392539476237212,0.0,0.0,S
