normal_miller_index,x_coordinate(mm),y_coordinate(mm),molecule,h,k,l,surface_chirality,halftime(s),stereographic_projection_x,stereographic_projection_y
100,-1.14805,2.77164,L-TA,0.987477055,0.008262618,0.157546168,R,1743.6,0.008288608194243345,0.1580417319373156
100,-0.58527,2.94236,L-TA,0.98797305,0.035369056,0.150526683,R,1838.1,0.03547588351261857,0.15098132875383674
100,-1.84e-16,3.0,L-TA,0.988528155,0.060583678,0.138353547,R,1690.0,0.06075818070122698,0.13875205479075897
100,0.58527,2.94236,L-TA,0.989120938,0.082937944,0.121495133,R,1431.5,0.08316444020357089,0.12182692548302611
100,1.14805,2.77164,L-TA,0.989728722,0.101572478,0.100598654,S,1335.7,0.10183430671571117,0.1008579724383972
100,1.66671,2.49441,L-TA,0.990328085,0.115771289,0.076467592,S,1300.4,0.11605224093201502,0.07665316234213325
100,2.12132,2.12132,L-TA,0.990896015,0.124988708,0.050029093,S,1257.9,0.12527415672154124,0.05014334924654602
100,2.49441,1.66671,L-TA,0.991410669,0.128870585,0.022299259,S,1360.0,0.12914820757045983,0.022347297717314186
100,2.77164,1.14805,L-TA,0.991852285,0.127267637,-0.005656225,R,1548.3,0.1275276668725065,-0.005667781649438051
100,2.94236,0.58527,L-TA,0.992203878,0.120241574,-0.032763215,R,1582.9,0.12047661587441771,-0.032827258801235916
100,3.0,3.67e-16,L-TA,0.992451985,0.108062095,-0.057979665,R,1487.3,0.10826658757827369,-0.05808938350197144
100,2.94236,-0.58527,L-TA,0.992586989,0.091197819,-0.080336958,R,1411.7,0.0913673028994051,-0.08048625785231536
100,2.77164,-1.14805,L-TA,0.992603786,0.070296178,-0.098975607,S,1373.3,0.07042652102241738,-0.09915912735813347
100,2.49441,-1.66671,L-TA,0.99250168,0.046160857,-0.113179462,S,1334.7,0.046247633299365265,-0.11339222440336073
100,2.12132,-2.12132,L-TA,0.992284609,0.019719164,-0.122402656,S,1385.5,0.019757309666435994,-0.12263943738113034
100,1.66671,-2.49441,L-TA,0.991960899,-0.008012674,-0.126290821,R,1524.1,-0.008028826384228119,-0.1265454049086024
100,1.14805,-2.77164,L-TA,0.991543008,-0.035968895,-0.124694432,R,1561.8,-0.03604518419115545,-0.12495890599506901
100,0.58527,-2.94236,L-TA,0.991046976,-0.063075337,-0.117674951,R,1467.6,-0.0632169915179173,-0.11793922526705382
100,5.51e-16,-3.0,L-TA,0.990491924,-0.088289959,-0.105501812,R,1380.8,-0.088500577173371,-0.10575348953142541
100,-0.58527,-2.94236,L-TA,0.989899087,-0.110644224,-0.088643401,S,1352.3,-0.11092468872456046,-0.08886809729364084
100,-1.14805,-2.77164,L-TA,0.989291341,-0.129278758,-0.06774692,S,1323.2,-0.12962625461669877,-0.06792902126594628
100,-1.66671,-2.49441,L-TA,0.988691986,-0.143477571,-0.043615859,S,1270.3,-0.14388491073785392,-0.04373968652542789
100,-2.12132,-2.12132,L-TA,0.988124071,-0.152694988,-0.01717736,S,1457.9,-0.15315036572813653,-0.017228587530612748
100,-2.49441,-1.66671,L-TA,0.987609402,-0.156576866,0.010552473,R,1713.5,-0.157064151583155,0.010585313534434586
100,-2.77164,-1.14805,L-TA,0.987167778,-0.15497392,0.038507958,R,1773.0,-0.1554734901992875,0.03863209132677018
100,-2.94236,-0.58527,L-TA,0.986816148,-0.147947857,0.065614948,R,1646.2,-0.14843791180165936,0.0658322875477302
100,-3.75,0.0,L-TA,0.980017611,-0.166165777,0.109336252,R,1486.5,-0.1670021467929225,0.10988657914976058
100,-3.70383,0.58663,L-TA,0.979870897,-0.149733876,0.132033296,R,1403.7,-0.15049311402685453,0.13270278176909972
100,-3.56646,1.15881,L-TA,0.979818353,-0.129954292,0.151881127,S,1299.3,-0.13061496922066598,0.1526532784950655
100,-3.34127,1.70246,L-TA,0.979861277,-0.107313736,0.168391328,S,1180.4,-0.10785814122800882,0.1692455813577859
100,-3.03381,2.20419,L-TA,0.979998572,-0.082369987,0.181157345,S,1104.4,-0.0827849816301812,0.18207004789253392
